State Name,2013,2014,2015,2016,2017,2018,2019
Alabama,4833722,4849377,4858979,4863300,4874747,4887871,4903185
Alaska,735132,736732,738432,741894,739795,737438,731545
Arizona,6626624,6731484,6828065,6931071,7016270,7171646,7278717
Arkansas,2959373,2966369,2978204,2988248,3004279,3013825,3017804
California,38332521,38802500,39144818,39250017,39536653,39557045,39512223
Colorado,5268367,5355866,5456574,5540545,5607154,5695564,5758736
Connecticut,3596080,3596677,3590886,3576452,3588184,3572665,3565287
Delaware,925749,935614,945934,952065,961939,967171,973764
District of Columbia,646449,658893,672228,681170,693972,702455,705749
Florida,19552860,19893297,20271272,20612439,20984400,21299325,21477737
Georgia,9992167,10097343,10214860,10310371,10429379,10519475,10617423
Hawaii,1404054,1419561,1431603,1428557,1427538,1420491,1415872
Idaho,1612136,1634464,1654930,1683140,1716943,1754208,1787065
Illinois,12882135,12880580,12859995,12801539,12802023,12741080,12671821
Indiana,6570902,6596855,6619680,6633053,6666818,6691878,6732219
Iowa,3090416,3107126,3123899,3134693,3145711,3156145,3155070
Kansas,2893957,2904021,2911641,2907289,2913123,2911510,2913314
Kentucky,4395295,4413457,4425092,4436974,4454189,4468402,4467673
Louisiana,4625470,4649676,4670724,4681666,4684333,4659978,4648794
Maine,1328302,1330089,1329328,1331479,1335907,1338404,1344212
Maryland,5928814,5976407,6006401,6016447,6052177,6042718,6045680
Massachusetts,6692824,6745408,6794422,6811779,6859819,6902149,6892503
Michigan,9895622,9909877,9922576,9928300,9962311,9995915,9986857
Minnesota,5420380,5457173,5489594,5519952,5576606,5611179,5639632
Mississippi,2991207,2994079,2992333,2988726,2984100,2986530,2976149
Missouri,6044171,6063589,6083672,6093000,6113532,6126452,6137428
Montana,1015165,1023579,1032949,1042520,1050493,1062305,1068778
Nebraska,1868516,1881503,1896190,1907116,1920076,1929268,1934408
Nevada,2790136,2839099,2890845,2940058,2998039,3034392,3080156
New Hampshire,1323459,1326813,1330608,1334795,1342795,1356458,1359711
New Jersey,8899339,8938175,8958013,8944469,9005644,8908520,8882190
New Mexico,2085287,2085572,2085109,2081015,2088070,2095428,2096829
New York,19651127,19746227,19795791,19745289,19849399,19542209,19453561
North Carolina,9848060,9943964,10042802,10146788,10273419,10383620,10488084
North Dakota,723393,739482,756928,757953,755393,760077,762062
Ohio,11570808,11594163,11613423,11614373,11658609,11689442,11689100
Oklahoma,3850568,3878051,3911338,3923561,3930864,3943079,3956971
Oregon,3930065,3970239,4028977,4093465,4142776,4190713,4217737
Pennsylvania,12773801,12787209,12802503,12784227,12805537,12807060,12801989
Puerto Rico,3615086,3548397,3474182,3411307,3337177,3195153,3193694
Rhode Island,1051511,1055173,1056298,1056426,1059639,1057315,1059361
South Carolina,4774839,4832482,4896146,4961119,5024369,5084127,5148714
South Dakota,844877,853175,858469,865454,869666,882235,884659
Tennessee,6495978,6549352,6600299,6651194,6715984,6770010,6829174
Texas,26448193,26956958,27469114,27862596,28304596,28701845,28995881
Utah,2900872,2942902,2995919,3051217,3101833,3161105,3205958
Vermont,626630,626562,626042,624594,623657,626299,623989
Virginia,8260405,8326289,8382993,8411808,8470020,8517685,8535519
Washington,6971406,7061530,7170351,7288000,7405743,7535591,7614893
West Virginia,1854304,1850326,1844128,1831102,1815857,1805832,1792147
Wisconsin,5742713,5757564,5771337,5778709,5795483,5813568,5822434
Wyoming,582658,584153,586107,585501,579315,577737,578759
